Publication.title,General.area.of.coverage,canNo,startReel,endReel,startDate,endDate,Title.ID
"The Weymouth, Portland and Dorchester Telegram",Dorset,11710,12,12,1881,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11939,8,8,1881,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11712,3,3,1882,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11910,15,15,1882,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11712,4,4,1883,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11712,5,6,1884,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11712,7,7,1885,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11712,8,8,1886 Jan 0,1886 May 14,013900990
The Merthyr Express and Advertiser for the Iron and Coal Districts of South Wales|The Merthyr Express and Advertiser for the Iron and Coal Districts of Wales,Mid Glamorgan,4643,1,1,1864,1866,013894491
The Merthyr Express and Advertiser for the Iron and Coal Districts of South Wales|The Merthyr Express and Advertiser for the Iron and Coal Districts of Wales,Mid Glamorgan,13612,1,1,1864 Nov 1,1865,013894491
The Merthyr Express and Advertiser for the Iron and Coal Districts of South Wales|The Merthyr Express and Advertiser for the Iron and Coal Districts of Wales,Mid Glamorgan,4643,2,2,1867,1868,013894491
The Merthyr Express and Advertiser for the Iron and Coal Districts of South Wales|The Merthyr Express and Advertiser for the Iron and Coal Districts of Wales,Mid Glamorgan,4643,3,3,1869,,013894491
The Merthyr Express and Advertiser for the Iron and Coal Districts of South Wales|The Merthyr Express and Advertiser for the Iron and Coal Districts of Wales,Mid Glamorgan,13612,2,2,1869,,013894491
The Merthyr Express and Advertiser for the Iron and Coal Districts of South Wales|The Merthyr Express and Advertiser for the Iron and Coal Districts of Wales,Mid Glamorgan,13573,1,1,1870,,013894491
The Merthyr Express and Advertiser for the Iron and Coal Districts of South Wales|The Merthyr Express and Advertiser for the Iron and Coal Districts of Wales,Mid Glamorgan,4643,4,4,1871 Jan 0,1871 Sep 30,013894491
The Merthyr Express and Advertiser for the Iron and Coal Districts of South Wales|The Merthyr Express and Advertiser for the Iron and Coal Districts of Wales,Mid Glamorgan,5190,12,12,1873,,013894491
The Merthyr Express and Advertiser for the Iron and Coal Districts of South Wales|The Merthyr Express and Advertiser for the Iron and Coal Districts of Wales,Mid Glamorgan,4643,5,5,1873 Jan 0,1873 Oct 11,013894491
The Merthyr Express and Advertiser for the Iron and Coal Districts of South Wales|The Merthyr Express and Advertiser for the Iron and Coal Districts of Wales,Mid Glamorgan,4813,3,3,1875,,013894491
The Merthyr Express and Advertiser for the Iron and Coal Districts of South Wales|The Merthyr Express and Advertiser for the Iron and Coal Districts of Wales,Mid Glamorgan,4813,4,4,1876,,013894491
The Merthyr Express and Advertiser for the Iron and Coal Districts of South Wales|The Merthyr Express and Advertiser for the Iron and Coal Districts of Wales,Mid Glamorgan,4813,5,5,1877,,013894491
The Merthyr Express and Advertiser for the Iron and Coal Districts of South Wales|The Merthyr Express and Advertiser for the Iron and Coal Districts of Wales,Mid Glamorgan,4813,6,6,1878,,013894491
